timestamp,mean,std,min,max
2024-08-20 10:19:30,109.51629287915273,63.217856083284765,0.0766728255485896,218.94802879881289
2024-08-20 10:20:00,365.8449337933012,84.9754067736912,219.0245103283733,513.7862685769875
2024-08-20 10:20:30,664.3290523668496,86.24941663314954,513.8861378675283,812.9301459289969
2024-08-20 10:21:00,960.2402548453895,84.79073757487471,813.0101345263706,1106.6116325847524
2024-08-20 10:21:30,1252.5149936412288,84.2257485455374,1106.6875224104342,1398.3431830755114
2024-08-20 10:22:00,1544.2097489024438,84.1996879605791,1398.4192277616967,1689.9928720219211
2024-08-20 10:22:30,1835.8541878041226,84.2024723746309,1690.0689118674084,1981.6342278134298
2024-08-20 10:23:00,2127.4722652229716,84.18797252550306,1981.7102591164462,2273.2337875357307
2024-08-20 10:23:30,2419.067446699954,84.18788091215437,2273.309722816237,2564.829076947805
2024-08-20 10:24:00,2710.6581069142144,84.1814770219929,2564.9048220919963,2856.404841800121
2024-08-20 10:24:30,3002.2236793025086,84.17770606490816,2856.4808631488177,3147.9626103731753
2024-08-20 10:25:00,3294.8534642402296,84.75130353527214,3148.0395650352193,3441.370136793883
2024-08-20 10:25:30,3587.7862707756412,84.52406489911179,3441.4463524597672,3734.130773775403
2024-08-20 10:26:00,3880.549464265255,84.52692160977514,3734.207037498228,4026.896982995747
2024-08-20 10:26:30,4173.323813223131,84.52851834937695,4026.9731604515105,4319.673538109378
2024-08-20 10:27:00,4466.0942229743005,84.52651269158684,4319.749963980403,4612.441023965036
2024-08-20 10:27:30,4758.861036261642,84.52468444528371,4612.517277783305,4905.21973756265
2024-08-20 10:28:00,5051.5720503725925,84.42846197569881,4905.29606703984,5197.7049378884885
2024-08-20 10:28:30,5343.876555491195,84.38240985527753,5197.780961294117,5489.975236717954
2024-08-20 10:29:00,5636.146896649725,84.38043795823212,5490.051409734394,5782.237479804344
2024-08-20 10:29:30,5928.419374905483,84.38487070914371,5782.313574068116,6074.51568082575
2024-08-20 10:30:00,6220.6910356880535,84.38286033925502,6074.591680145817,6366.7870281916885
2024-08-20 10:30:30,6512.96212418975,84.38175541245211,6366.863195591946,6659.05446157532
2024-08-20 10:31:00,6805.230657495877,84.38310344167239,6659.130575629403,6951.334415697785
2024-08-20 10:31:30,7097.510598246432,84.387747980011,6951.410606698725,7243.619207580313
2024-08-20 10:32:00,7389.793976945057,84.38145579585358,7243.694990126588,7535.888636956641
2024-08-20 10:32:30,7682.0709305247765,84.38592745554455,7535.964989413091,7828.171420502271
2024-08-20 10:33:00,7974.350596852804,84.38403803505985,7828.247420345154,8120.449095335384
2024-08-20 10:33:30,8266.619250154448,84.37912287132059,8120.525224002776,8412.711903019801
2024-08-20 10:34:00,8558.89612359005,84.38923725475195,8412.788049792109,8705.003903666227
2024-08-20 10:34:30,8851.181298650044,84.3813367326561,8705.080037929234,8997.279567147902
2024-08-20 10:35:00,9143.458249351543,84.38428995112105,8997.355682725927,9289.560110029372
2024-08-20 10:35:30,9435.745050923122,84.38666306433781,9289.636116455844,9581.850352490508
2024-08-20 10:36:00,9728.026306577396,84.38426480155297,9581.926813915707,9874.130183863303
2024-08-20 10:36:30,10020.325983846931,84.3937322818949,9874.206253317041,10166.436160809846
2024-08-20 10:37:00,10312.626186859165,84.39178479311535,10166.512225068927,10458.737122547014
2024-08-20 10:37:30,10604.918440628602,84.38503093949171,10458.813246737076,10751.020877043637
2024-08-20 10:38:00,10897.211961975838,84.3923137954394,10751.097013010516,11043.322419249847
2024-08-20 10:38:30,11189.495238931899,84.38306366690641,11043.398444437855,11335.593218736567
2024-08-20 10:39:00,11481.76828981404,84.38705351525843,11335.669297774593,11627.8725156849
2024-08-20 10:39:30,11774.042551513085,84.37971735078405,11627.948606341206,11920.134162449362
2024-08-20 10:40:00,12066.32111653782,84.38877249604764,11920.210377164734,12212.43038346795
2024-08-20 10:40:30,12358.625514686364,84.39729908755606,12212.506482133223,12504.74958199541
2024-08-20 10:41:00,12650.937236014392,84.39166255615498,12504.825774474988,12797.050121488772
2024-08-20 10:41:30,12943.23555807686,84.3883502920155,12797.126339518443,13089.346385503257
2024-08-20 10:42:00,13235.52003932498,84.38076616540634,13089.422563977017,13381.61983995671
2024-08-20 10:42:30,13527.801182361518,84.3856755614585,13381.696054693904,13673.907504448262
2024-08-20 10:43:00,13820.090154241576,84.38557053444096,13673.98362681927,13966.190559607729
2024-08-20 10:43:30,14112.367162492686,84.3828069862235,13966.266510493071,14258.469272082551
2024-08-20 10:44:00,14404.642020070574,84.37945823624221,14258.545202227817,14550.732046194762
2024-08-20 10:44:30,14696.898640369564,84.37990827236055,14550.808099783515,14842.990988299678
2024-08-20 10:45:00,14989.160823083708,84.38150133193346,14843.067234222468,15135.263365451217
2024-08-20 10:45:30,15281.439701385098,84.38416957580685,15135.339353427536,15427.546780056298
2024-08-20 10:46:00,15573.738613348447,84.39180070500444,15427.622984941932,15719.855084573259
2024-08-20 10:46:30,15866.05174552552,84.39266871624324,15719.931206389972,16012.17656433167
2024-08-20 10:47:00,16158.435780540878,84.43617748715667,16012.252726048806,16304.628534268797
2024-08-20 10:47:30,16451.809898307118,85.55329912241837,16304.704657663395,16600.953741858633
2024-08-20 10:48:00,16749.121682740904,85.68581531725881,16601.03452616119,16897.738655993733
2024-08-20 10:48:30,17046.16157090066,85.78814582353971,16897.822504876076,17195.13576514037
2024-08-20 10:49:00,17343.792528727787,85.68055283340436,17195.211499031782,17491.738943915105
2024-08-20 10:49:30,17640.355571520424,85.35699685983428,17491.807128007673,17788.057290945962
